0,0,700,34
0,0,34,233
666,0,34,233
0,398,34,700
666,400,34,300
0,667,700,34
257,267,74,34
257,267,34,99
290,332,119,34
409,300,34,66
369,267,74,34
33,199,114,34
113,233,34,65
0,267,148,34
0,333,148,34
114,366,34,65
0,399,148,34
551,200,149,34
551,200,34,100
551,267,149,34
551,333,34,100
551,399,149,34
72,66,75,34
184,66,112,34
404,66,112,34
552,66,75,34
72,134,75,34
552,134,75,34
184,333,34,100
479,333,34,100
184,466,112,34
404,466,112,34
72,466,75,34
114,466,34,100
551,466,75,34
551,466,34,100
257,134,186,34
330,166,34,64
218,200,75,34
184,134,34,166
404,200,75,34
479,134,34,166
330,433,34,67
257,399,186,34
257,533,186,34
330,566,34,67
479,533,34,66
404,599,223,34
184,533,34,66
72,599,224,34
331,34,34,66
34,533,40,34
626,533,40,34
